SchoolID,StudentID,STRATUM,StudentBIrthMonth,StudentBirthYear,Gender,OwnRoom,ComputerLaptopPhoneForSchool,EducationalApps,OwnPhonewithInternet,InternetAccess,CarsVansOrTrucks,MopedOrMotorcycles,RoomsWBathShower,RoomsWFlushToilet,MusicalInstruments,ArtWorks,VideoGame,SmartTV,Screens,TVs,PCs,LaptopNotebook,Tablets,EbookReader,PhoneWInternet
60800021,60801464,PHL - stratum 09: REGION 8,August,2006,Female,No,Yes,Yes,Yes,Yes,None,One,One,None,Two,Three or more,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,6 to 10,1 or 2,No Response,1 or 2,None,1 or 2,More than 5
60800151,60801465,PHL - stratum 15: CAR,February,2006,Male,Yes,Yes,Yes,Yes,Yes,None,None,Two,Two,One,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Four,1 or 2,None,1 or 2,None,None,03-May
60800010,60801466,PHL - stratum 07: REGION 6,October,2006,Male,No,No,No,No,No,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Two,1 or 2,None,None,None,None,None
60800012,60801467,PHL - stratum 14: NCR,August,2006,Male,No,Yes,Yes,Yes,Yes,None,One,One,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Four,1 or 2,1 or 2,None,1 or 2,None,03-May
60800085,60801468,PHL - stratum 13: REGION 12,November,2006,Male,Yes,Yes,Yes,Yes,Yes,One,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,None,None,1 or 2,03-May
60800048,60801469,PHL - stratum 13: REGION 12,June,2006,Female,Yes,No,No,Yes,Yes,None,None,None,None,Two,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,One,1 or 2,None,None,None,None,1 or 2
60800157,60801470,PHL - stratum 14: NCR,December,2006,Male,No,No,Yes,No,Yes,One,One,One,One,Three or more,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-Two",Philippines :Smart TV-One,6 to 10,1 or 2,1 or 2,1 or 2,1 or 2,None,More than 5
60800066,60801471,PHL - stratum 07: REGION 6,December,2006,Male,Yes,Yes,Yes,No,No,Three or more,Three or more,Two,One,Three or more,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-Two",Philippines :Smart TV-None,One,1 or 2,None,None,None,None,None
60800154,60801472,PHL - stratum 07: REGION 6,December,2006,Male,No,No,No,Yes,Yes,None,Two,One,One,One,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,Three,1 or 2,None,1 or 2,None,None,1 or 2
60800123,60801473,PHL - stratum 11: REGION 10,December,2006,Male,Yes,Yes,No,No,No,None,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Five,None,None,None,None,None,03-May
60800116,60801474,PHL - stratum 11: REGION 10,June,2006,Male,No,No,Yes,No,No,None,None,None,One,None,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-None,Two,None,None,None,None,None,1 or 2
60800049,60801475,PHL - stratum 03: REGION 3,July,2006,Male,Yes,Yes,Yes,Yes,Yes,One,None,One,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,6 to 10,1 or 2,1 or 2,1 or 2,None,None,03-May
60800047,60801477,PHL - stratum 11: REGION 10,April,2006,Female,No,No,No,Yes,No,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,One,1 or 2,None,1 or 2,None,None,03-May
60800031,60801478,PHL - stratum 14: NCR,April,2006,Female,Yes,Yes,Yes,Yes,Yes,None,None,None,None,One,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,Two,I don't know.,None,1 or 2,1 or 2,None,03-May
60800051,60801479,PHL - stratum 09: REGION 8,May,2006,Male,No,No,Yes,Yes,Yes,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Four,1 or 2,None,1 or 2,None,None,03-May
60800137,60801480,PHL - stratum 03: REGION 3,September,2006,Female,Yes,No,No,No,No,One,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,None,None,None,1 or 2
60800048,60801482,PHL - stratum 13: REGION 12,August,2006,Female,No,Yes,Yes,Yes,Yes,Three or more,Two,One,One,One,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-None,6 to 10,03-May,More than 5,03-May,03-May,1 or 2,More than 5
60800092,60801483,PHL - stratum 04: REGION 4A,July,2006,Male,Yes,Yes,No,Yes,Yes,None,One,One,None,Two,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Five,1 or 2,None,None,None,None,1 or 2
60800014,60801484,PHL - stratum 04: REGION 4A,September,2006,Female,Yes,Yes,Yes,No,No,None,One,Two,Three or more,One,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,6 to 10,1 or 2,None,1 or 2,1 or 2,None,03-May
60800111,60801485,PHL - stratum 07: REGION 6,December,2006,Male,Yes,No,Yes,No,No,Three or more,Two,One,One,None,Three or more,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,6 to 10,1 or 2,None,1 or 2,None,None,More than 5
60800013,60801486,PHL - stratum 11: REGION 10,May,2006,Male,No,Yes,No,Yes,Yes,Two,Three or more,One,Two,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-Two,One,1 or 2,None,None,None,None,1 or 2
